#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-10T16:41:16 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-05-10T16:41:16	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJ/833/225/table3&-order=I&-out=Name&-out=Teff&-out=logg&-out=[Fe/H]&-out=xi&-out=Pop&-out=Z&-out=Species&-out=N&-out=[X/H]LTE&-out=e_[X/H]LTE&-out=[X/Fe]LTE&-out=[X/H]NLTE&-out=e_[X/H]NLTE&-out=[X/Fe]NLTE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18330225
#Name: J/ApJ/833/225
#Title: -2.6<=[Fe/H]<=0.2 F and G dwarfs. II. Abundances (Zhao+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/apj/833/225	    IVOID of underlying data collection
#INFO	creator=Zhao G.	    First author or institution
#INFO	cites=bibcode:2016ApJ...833..225Z	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/833/225	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18330225	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-07-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_833_225_table3:
#Name: J/ApJ/833/225/table3
#Title: Summary of the obtained stellar abundances
#Column	Name	(A10)	Object, Simbad name	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[4810/6600] Object effective temperature, derived (1)	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[3/4.8] Object surface gravity, derived (1)	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	[-2.7/0.3] Object metallicity, derived (1)	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[0.6/2] Microturbulence velocity, derived (1)	[ucd=phys.veloc.microTurb]
#Column	Pop	(a10)	Object Galactic population (Halo, Thick disk or Thin disk)	[ucd=src.class]
#Column	Z	(I2)	[3/63]? Atomic number	[ucd=meta.id]
#Column	Species	(A5)	Chemical species investigated	[ucd=meta.note]
#Column	N	(I2)	[0/29]? Number of lines fit	[ucd=meta.number]
#Column	[X/H]LTE	(F5.2)	[-3.6/2.8]? Abundance, relative to hydrogen, LTE case	[ucd=phys.abund]
#Column	e_[X/H]LTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]LTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]LTE	(F5.2)	[-1.1/0.7]? Abundance, relative to iron, LTE case	[ucd=phys.abund]
#Column	[X/H]NLTE	(F5.2)	[-3.3/2.7]? Abundance, relative to hydrogen, NLTE case	[ucd=phys.abund]
#Column	e_[X/H]NLTE	(F5.2)	[0/0.3]? Uncertainty in [X/H]NLTE	[ucd=stat.error;phys.abund]
#Column	[X/Fe]NLTE	(F5.2)	[-0.8/0.7]? Abundance, relative to iron, NLTE case	[ucd=phys.abund]
Name	Teff	logg	[Fe/H]	xi	Pop	Z	Species	N	[X/H]LTE	e_[X/H]LTE	[X/Fe]LTE	[X/H]NLTE	e_[X/H]NLTE	[X/Fe]NLTE
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	12	Mg I 	 4	-1.45	 0.05	 0.28	-1.47	 0.03	 0.26
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	13	Al I 	 0	     	     	     	     	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	14	Si I 	 2	-1.55	 0.00	 0.18	-1.55	 0.01	 0.18
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	14	Si II	 0	     	     	     	     	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	19	K I  	 1	-1.63	     	 0.10	-1.62	     	 0.11
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	20	Ca I 	17	-1.55	 0.05	 0.18	-1.49	 0.06	 0.24
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	21	Sc II	 4	-1.79	 0.04	-0.06	-1.72	 0.04	 0.01
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	22	Ti II	 9	-1.49	 0.03	 0.24	-1.48	 0.03	 0.25
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	26	Fe I 	22	-1.75	 0.06	-0.02	-1.75	 0.06	-0.02
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	26	Fe II	11	-1.73	 0.07	 0.00	-1.73	 0.07	 0.00
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	29	Cu I 	 0	     	     	     	     	     	
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	38	Sr II	 2	-1.76	 0.00	-0.03	-1.77	 0.00	-0.04
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	40	Zr II	 2	-1.32	 0.05	 0.41	-1.31	 0.05	 0.42
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	56	Ba II	 3	-1.88	 0.12	-0.15	-1.82	 0.06	-0.09
HD 64090  	5400	 4.70	-1.73	 0.7	Halo      	63	Eu II	 1	-1.40	     	 0.33	-1.40	     	 0.33
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	 3	Li I 	 1	 2.74	     	     	 2.69	     	
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	 6	C I  	 5	-0.23	 0.04	 0.02	-0.22	 0.02	 0.03
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	  	CH   	 7	-0.23	 0.05	 0.02	     	     	
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	 8	O I  	 5	-0.15	 0.08	 0.10	-0.23	 0.04	 0.02
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	11	Na I 	 4	-0.22	 0.04	 0.03	-0.23	 0.03	 0.02
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	12	Mg I 	 5	-0.24	 0.08	 0.01	-0.24	 0.08	 0.01
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	14	Si I 	 7	-0.24	 0.04	 0.01	-0.24	 0.04	 0.01
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	14	Si II	 2	-0.18	 0.03	 0.07	-0.21	 0.03	 0.04
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	19	K I  	 1	-0.02	     	 0.23	-0.25	     	 0.00
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	20	Ca I 	14	-0.30	 0.04	-0.05	-0.32	 0.05	-0.07
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	21	Sc II	 7	-0.25	 0.03	 0.00	-0.25	 0.03	 0.00
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	22	Ti II	11	-0.24	 0.03	 0.01	-0.24	 0.04	 0.01
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	26	Fe I 	28	-0.31	 0.06	-0.06	-0.29	 0.06	-0.04
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	26	Fe II	15	-0.25	 0.04	 0.00	-0.25	 0.04	 0.00
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	29	Cu I 	 3	-0.43	 0.02	-0.18	-0.40	 0.02	-0.15
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	38	Sr II	 2	-0.20	 0.01	 0.05	-0.22	 0.06	 0.03
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	40	Zr II	 2	-0.13	 0.06	 0.12	-0.10	 0.06	 0.15
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	56	Ba II	 2	-0.14	 0.06	 0.11	-0.19	 0.01	 0.06
HD 69897  	6240	 4.24	-0.25	 1.4	Thin disk 	63	Eu II	 1	-0.19	     	 0.06	-0.16	     	 0.09
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	 3	Li I 	 1	 2.41	     	     	 2.39	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	 6	C I  	 0	     	     	     	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	  	CH   	 7	-1.61	 0.05	 0.36	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	 8	O I  	 0	     	     	     	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	11	Na I 	 2	-1.34	 0.04	 0.63	-1.65	 0.03	 0.32
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	12	Mg I 	 2	-1.68	 0.04	 0.29	-1.64	 0.04	 0.33
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	13	Al I 	 1	-2.41	     	-0.44	-1.92	     	 0.05
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	14	Si I 	 2	-1.71	 0.04	 0.26	-1.63	 0.03	 0.34
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	14	Si II	 0	     	     	     	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	19	K I  	 0	     	     	     	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	20	Ca I 	 4	-1.73	 0.10	 0.24	-1.63	 0.07	 0.34
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	21	Sc II	 2	-1.95	 0.02	 0.02	-1.87	 0.01	 0.10
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	22	Ti II	 7	-1.74	 0.09	 0.23	-1.73	 0.09	 0.24
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	26	Fe I 	15	-2.05	 0.07	-0.08	-1.99	 0.07	-0.02
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	26	Fe II	 7	-1.97	 0.07	 0.00	-1.97	 0.07	 0.00
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	29	Cu I 	 0	     	     	     	     	     	
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	38	Sr II	 2	-1.64	 0.08	 0.33	-1.79	 0.09	 0.18
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	40	Zr II	 2	-1.45	 0.01	 0.52	-1.43	 0.00	 0.54
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	56	Ba II	 3	-1.97	 0.07	 0.00	-1.77	 0.06	 0.20
HD 74000  	6225	 4.13	-1.97	 1.3	Halo      	63	Eu II	 1	-1.82	     	 0.15	-1.76	     	 0.21
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	 3	Li I 	 1	 2.17	     	     	 2.15	     	
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	 6	C I  	 3	-0.65	 0.02	 0.33	-0.67	 0.02	 0.31
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	  	CH   	13	-0.84	 0.04	 0.14	     	     	
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	 8	O I  	 4	-0.40	 0.02	 0.58	-0.39	 0.02	 0.59
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	11	Na I 	 5	-0.89	 0.01	 0.09	-0.88	 0.03	 0.10
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	12	Mg I 	 5	-0.63	 0.05	 0.35	-0.62	 0.06	 0.36
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	13	Al I 	 0	     	     	     	     	     	
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	14	Si I 	 7	-0.58	 0.06	 0.40	-0.56	 0.03	 0.42
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	14	Si II	 2	-0.55	 0.07	 0.43	-0.57	 0.06	 0.41
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	19	K I  	 1	-0.53	     	 0.45	-0.79	     	 0.19
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	20	Ca I 	19	-0.69	 0.05	 0.29	-0.69	 0.06	 0.29
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	21	Sc II	 9	-0.90	 0.05	 0.08	-0.87	 0.03	 0.11
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	22	Ti II	15	-0.65	 0.04	 0.33	-0.65	 0.04	 0.33
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	26	Fe I 	27	-0.99	 0.05	-0.01	-0.95	 0.06	 0.03
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	26	Fe II	16	-0.98	 0.05	 0.00	-0.98	 0.05	 0.00
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	29	Cu I 	 3	-1.01	 0.02	-0.03	-0.93	 0.01	 0.05
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	38	Sr II	 2	-0.78	 0.01	 0.20	-0.78	 0.08	 0.20
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	40	Zr II	 2	-0.58	 0.01	 0.40	-0.58	 0.02	 0.40
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	56	Ba II	 3	-0.93	 0.06	 0.05	-0.99	 0.02	-0.01
HD 76932  	5870	 4.10	-0.98	 1.3	Thick disk	63	Eu II	 1	-0.50	     	 0.48	-0.49	     	 0.49
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	 3	Li I 	 1	 2.44	     	     	 2.41	     	
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	 6	C I  	 4	 0.13	 0.03	-0.06	 0.11	 0.05	-0.08
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	  	CH   	 6	 0.20	 0.03	 0.01	     	     	
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	 8	O I  	 5	 0.12	 0.06	-0.07	 0.08	 0.05	-0.11
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	11	Na I 	 4	 0.32	 0.04	 0.13	 0.29	 0.03	 0.10
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	12	Mg I 	 4	 0.17	 0.04	-0.02	 0.16	 0.04	-0.03
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	13	Al I 	 2	 0.21	 0.01	 0.02	 0.20	 0.01	 0.01
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	14	Si I 	 9	 0.22	 0.03	 0.03	 0.21	 0.03	 0.02
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	14	Si II	 2	 0.15	 0.01	-0.04	 0.15	 0.00	-0.04
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	19	K I  	 1	 0.26	     	 0.07	 0.22	     	 0.03
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	20	Ca I 	18	 0.18	 0.04	-0.01	 0.14	 0.04	-0.05
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	21	Sc II	 9	 0.25	 0.04	 0.06	 0.24	 0.04	 0.05
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	22	Ti II	12	 0.17	 0.03	-0.02	 0.16	 0.03	-0.03
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	26	Fe I 	25	 0.20	 0.04	 0.01	 0.20	 0.04	 0.01
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	26	Fe II	13	 0.19	 0.04	 0.00	 0.19	 0.04	 0.00
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	29	Cu I 	 3	 0.24	 0.01	 0.05	 0.24	 0.02	 0.05
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	38	Sr II	 1	 0.09	     	-0.10	 0.11	     	-0.08
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	40	Zr II	 2	 0.09	 0.05	-0.10	 0.10	 0.06	-0.09
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	56	Ba II	 3	 0.04	 0.01	-0.15	 0.03	 0.02	-0.16
HD 82943  	5970	 4.37	 0.19	 1.2	Thin disk 	63	Eu II	 1	-0.01	     	-0.20	-0.01	     	-0.20
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	 3	Li I 	 1	 2.19	     	     	 2.17	     	
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	 6	C I  	 4	-1.96	 0.07	 0.21	-1.83	 0.02	 0.33
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	  	CH   	 7	-1.79	 0.05	 0.37	     	     	
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	 8	O I  	 2	-1.52	 0.01	 0.64	-1.47	 0.00	 0.69
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	11	Na I 	 2	-2.07	 0.09	 0.10	-2.32	 0.00	-0.16
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	12	Mg I 	 2	-1.95	 0.06	 0.21	-1.93	 0.08	 0.23
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	13	Al I 	 1	-2.93	     	-0.77	-2.39	     	-0.23
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	14	Si I 	 2	-1.92	 0.00	 0.24	-1.88	 0.01	 0.29
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	14	Si II	 0	     	     	     	     	     	
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	19	K I  	 1	-1.95	     	 0.21	-1.86	     	 0.30
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	20	Ca I 	 3	-1.84	 0.07	 0.32	-1.74	 0.07	 0.42
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	21	Sc II	 3	-2.18	 0.04	-0.02	-2.06	 0.03	 0.10
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	22	Ti II	 6	-1.79	 0.06	 0.37	-1.77	 0.06	 0.39
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	26	Fe I 	12	-2.22	 0.08	-0.06	-2.16	 0.10	 0.00
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	26	Fe II	 7	-2.16	 0.07	 0.00	-2.16	 0.07	 0.00
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	29	Cu I 	 0	     	     	     	     	     	
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	38	Sr II	 2	-2.23	 0.01	-0.07	-2.33	 0.04	-0.17
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	40	Zr II	 2	-1.75	 0.04	 0.41	-1.75	 0.04	 0.41
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	56	Ba II	 3	-2.41	 0.07	-0.25	-2.17	 0.04	-0.01
HD 84937  	6350	 4.09	-2.16	 1.7	Halo      	63	Eu II	 1	-1.76	     	 0.40	-1.73	     	 0.43
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	 3	Li I 	 1	 1.93	     	     	 1.90	     	
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	 6	C I  	 3	 0.05	 0.06	-0.08	 0.05	 0.06	-0.08
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	  	CH   	 5	 0.18	 0.04	 0.05	     	     	
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	 8	O I  	 4	 0.13	 0.09	 0.00	-0.03	 0.01	-0.16
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	11	Na I 	 4	 0.29	 0.06	 0.16	 0.23	 0.03	 0.10
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	12	Mg I 	 4	 0.21	 0.07	 0.08	 0.20	 0.05	 0.07
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	14	Si I 	 8	 0.19	 0.06	 0.06	 0.18	 0.06	 0.05
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	14	Si II	 2	 0.14	 0.06	 0.01	 0.10	 0.05	-0.03
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	19	K I  	 1	 0.47	     	 0.34	 0.19	     	 0.06
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	20	Ca I 	17	 0.19	 0.05	 0.06	 0.12	 0.04	-0.01
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	21	Sc II	 7	 0.20	 0.04	 0.07	 0.17	 0.05	 0.04
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	22	Ti II	10	 0.14	 0.07	 0.01	 0.13	 0.08	 0.00
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	26	Fe I 	26	 0.14	 0.04	 0.01	 0.15	 0.05	 0.02
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	26	Fe II	13	 0.13	 0.03	 0.00	 0.13	 0.03	 0.00
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	29	Cu I 	 3	 0.10	 0.01	-0.03	 0.11	 0.01	-0.02
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	38	Sr II	 1	 0.11	     	-0.02	 0.12	     	-0.01
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	40	Zr II	 2	 0.15	 0.06	 0.02	 0.16	 0.06	 0.03
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	56	Ba II	 3	 0.26	 0.04	 0.13	 0.19	 0.06	 0.06
HD 89744  	6280	 3.97	 0.13	 1.7	Thin disk 	63	Eu II	 1	 0.03	     	-0.10	 0.07	     	-0.06
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	 3	Li I 	 1	 2.68	     	     	 2.61	     	
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	 6	C I  	 4	-0.18	 0.04	 0.00	-0.23	 0.02	-0.05
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	  	CH   	12	-0.12	 0.02	 0.06	     	     	
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	 8	O I  	 5	-0.11	 0.04	 0.07	-0.16	 0.05	 0.02
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	11	Na I 	 4	-0.16	 0.03	 0.02	-0.17	 0.02	 0.01
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	12	Mg I 	 4	-0.15	 0.03	 0.03	-0.15	 0.04	 0.03
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	14	Si I 	 9	-0.13	 0.01	 0.05	-0.14	 0.02	 0.04
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	14	Si II	 2	-0.12	 0.02	 0.06	-0.15	 0.01	 0.03
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	19	K I  	 1	 0.09	     	 0.27	-0.07	     	 0.11
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	20	Ca I 	17	-0.16	 0.04	 0.02	-0.19	 0.06	-0.01
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	21	Sc II	 8	-0.16	 0.03	 0.02	-0.16	 0.03	 0.02
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	22	Ti II	13	-0.18	 0.05	 0.00	-0.18	 0.05	 0.00
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	26	Fe I 	28	-0.14	 0.05	 0.04	-0.12	 0.05	 0.06
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	26	Fe II	17	-0.18	 0.05	 0.00	-0.18	 0.05	 0.00
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	29	Cu I 	 3	-0.22	 0.02	-0.04	-0.21	 0.02	-0.03
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	38	Sr II	 2	-0.02	 0.08	 0.16	-0.03	 0.02	 0.15
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	40	Zr II	 1	-0.09	     	 0.09	-0.07	     	 0.11
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	56	Ba II	 3	 0.01	 0.05	 0.19	-0.05	 0.04	 0.13
HD 90839  	6195	 4.38	-0.18	 1.4	Thin disk 	63	Eu II	 1	-0.09	     	 0.09	-0.05	     	 0.13
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	 3	Li I 	 1	 2.37	     	     	 2.34	     	
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	 6	C I  	 2	-0.20	 0.04	-0.08	-0.20	 0.04	-0.08
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	  	CH   	 6	-0.16	 0.10	-0.04	     	     	
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	 8	O I  	 3	-0.09	 0.08	 0.03	-0.12	 0.05	 0.00
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	11	Na I 	 2	-0.04	 0.00	 0.08	-0.07	 0.01	 0.05
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	12	Mg I 	 4	-0.09	 0.05	 0.03	-0.11	 0.05	 0.01
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	13	Al I 	 0	     	     	     	     	     	
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	14	Si I 	 4	-0.10	 0.03	 0.02	-0.10	 0.03	 0.02
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	14	Si II	 2	-0.07	 0.01	 0.05	-0.09	 0.01	 0.03
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	19	K I  	 0	     	     	     	     	     	
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	20	Ca I 	17	-0.02	 0.05	 0.10	-0.06	 0.03	 0.06
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	21	Sc II	 1	-0.04	     	 0.08	-0.06	     	 0.06
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	22	Ti II	 7	-0.15	 0.06	-0.03	-0.15	 0.06	-0.03
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	26	Fe I 	24	-0.12	 0.05	 0.00	-0.10	 0.04	 0.02
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	26	Fe II	11	-0.12	 0.03	 0.00	-0.12	 0.03	 0.00
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	29	Cu I 	 3	-0.29	 0.01	-0.17	-0.28	 0.02	-0.16
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	38	Sr II	 2	-0.12	 0.07	 0.00	-0.13	 0.01	-0.01
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	40	Zr II	 2	-0.11	 0.01	 0.01	-0.10	 0.01	 0.02
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	56	Ba II	 3	 0.15	 0.05	 0.27	 0.13	 0.07	 0.25
HD 92855  	6020	 4.36	-0.12	 1.3	Thin disk 	63	Eu II	 1	-0.10	     	 0.02	-0.10	     	 0.02
HD 94028  	5970	 4.33	-1.47	 1.3	Thick disk	 3	Li I 	 1	 2.27	     	     	 2.25	     	
HD 94028  	5970	 4.33	-1.47	 1.3	Thick disk	 6	C I  	 1	-1.29	     	 0.18	-1.29	     	 0.18
HD 94028  	5970	 4.33	-1.47	 1.3	Thick disk	  	CH   	 9	-1.33	 0.05	 0.14	     	     	
HD 94028  	5970	 4.33	-1.47	 1.3	Thick disk	 8	O I  	 3	-0.92	 0.15	 0.55	-0.85	 0.13	 0.62
HD 94028  	5970	 4.33	-1.47	 1.3	Thick disk	11	Na I 	 3	-1.35	 0.15	 0.12	-1.44	 0.02	 0.03
