#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-23T23:24:39 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-23T23:24:39	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/655/A99&tab:{J/A+A/655/A99/table}&key:source=J/A+A/655/A99&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/655/A99/table
#-order=I
#-out=Star
#-out=Teff
#-out=logg
#-out=[Fe/H]
#-out=S/N
#-out=[C/Fe]
#-out=e_[C/Fe]
#-out=[O1/Fe]
#-out=e_[O1/Fe]
#-out=[O2/Fe]
#-out=e_[O2/Fe]
#-out=[C/O1]
#-out=[C/O2]
#-out=planet
#-out=pop
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_36550099
#Name: J/A+A/655/A99
#Title: Chemical abundances of 762 FGK stars (Delgado Mena+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/655/a99	
#INFO	publisher=CDS	
#INFO	creator=Delgado Mena E.	
#INFO	related_resource=bibcode:2021A&A...655A..99D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/655/A99	
#INFO	publication_id=doi:10.26093/cds/vizier.36550099	
#INFO	publication_date=2022-09-21	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_655_A99_table:
#Name: J/A+A/655/A99/table
#Title: Abundance ratios, errors, planet presence
#Column	Star	(a10)	Star's identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	Effective Temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Surface gravity	[ucd=phys.gravity]
#Column	[Fe/H]	(F5.2)	Iron abundance	[ucd=phys.abund.Fe]
#Column	S/N	(I4)	Signal to noise ratio	[ucd=stat.snr]
#Column	[C/Fe]	(F6.3)	? Abundance [C/Fe]	[ucd=phys.abund]
#Column	e_[C/Fe]	(F6.3)	? Error of [C/Fe]	[ucd=stat.error;phys.abund]
#Column	[O1/Fe]	(F6.3)	? Abundance [O/Fe] from 6158{AA} line	[ucd=phys.abund]
#Column	e_[O1/Fe]	(F6.3)	? Error of [O/Fe] from 6158{AA} line	[ucd=stat.error;phys.abund]
#Column	[O2/Fe]	(F6.3)	? Abundance [O/Fe] from 6300{AA} line	[ucd=phys.abund]
#Column	e_[O2/Fe]	(F6.3)	? Error of [O/Fe] from 6300{AA} line	[ucd=stat.error;phys.abund]
#Column	[C/O1]	(F6.3)	? Ratio [C/O] using 6158{AA} line	[ucd=phys.abund]
#Column	[C/O2]	(F6.3)	? Ratio [C/O] using 6300{AA} line	[ucd=phys.abund]
#Column	planet	(A4)	Type of the most massive planet present (jup, nept or non)	[ucd=src.class]
#Column	pop	(A5)	Galactic population (thick, thin, halo or hamr)	[ucd=meta.code]
#Column	SimbadName	(a10)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star	Teff	logg	[Fe/H]	S/N	[C/Fe]	e_[C/Fe]	[O1/Fe]	e_[O1/Fe]	[O2/Fe]	e_[O2/Fe]	[C/O1]	[C/O2]	planet	pop	SimbadName	_RA	_DE
HD171028  	5671	 3.83	-0.48	 835	 0.021	 0.014	 0.160	 0.094	 0.193	 0.047	-0.139	-0.172	jup 	thin 	HD171028  	278.06456	+06.94575
HD213575  	5671	 4.17	-0.15	 556	 0.158	 0.011	 0.268	 0.067	 0.305	 0.045	-0.110	-0.147	non 	hamr 	HD213575  	338.14192	-06.46718
HD134088  	5675	 4.45	-0.75	 311	 0.214	 0.023	      	      	      	      	      	      	non 	thick	HD134088  	227.05236	-07.91320
HD47186   	5675	 4.35	 0.23	1344	-0.040	 0.019	-0.008	 0.037	-0.079	 0.040	-0.032	 0.039	jup 	thin 	HD47186   	099.03662	-27.62230
HD157347  	5676	 4.36	 0.02	 574	-0.066	 0.020	 0.046	 0.075	 0.049	 0.060	-0.112	-0.115	non 	thin 	HD157347  	260.71370	-02.38818
HD195564  	5676	 4.01	 0.06	 635	-0.033	 0.012	-0.014	 0.065	 0.047	 0.049	-0.019	-0.080	non 	thin 	HD195564  	308.09873	-09.85339
HD101644  	5678	 4.56	-0.56	 188	 0.018	 0.014	      	      	      	      	      	      	non 	thin 	HD101644  	175.43771	-06.68452
HD1320    	5679	 4.47	-0.27	 338	 0.009	 0.016	      	      	 0.155	 0.125	      	-0.146	non 	thin 	HD1320    	004.31886	-43.85273
HD106116  	5680	 4.37	 0.14	 928	-0.056	 0.015	 0.004	 0.043	-0.012	 0.050	-0.060	-0.044	non 	thin 	HD106116  	183.12018	-03.08447
HD125184  	5680	 4.08	 0.27	 269	-0.096	 0.028	-0.226	 0.118	      	      	 0.130	      	non 	thin 	HD125184  	214.50303	-07.54239
HD212708  	5681	 4.33	 0.27	1033	-0.032	 0.022	 0.042	 0.038	 0.047	 0.042	-0.074	-0.079	non 	thin 	HD212708  	336.85287	-49.36594
HD39427   	5682	 4.50	-0.18	 196	-0.025	 0.049	      	      	 0.078	 0.197	      	-0.103	non 	thin 	HD39427   	087.61404	-43.69965
HD97783   	5682	 4.48	-0.73	 227	 0.260	 0.038	 0.839	 0.203	      	      	-0.579	      	non 	thick	HD97783   	168.70805	-23.64665
HD10895   	5685	 4.50	-0.27	 139	-0.076	 0.042	      	      	-0.250	 0.473	      	 0.174	non 	thin 	HD10895   	026.50055	-43.91336
HD121004  	5687	 4.46	-0.71	 178	 0.200	 0.018	      	      	 0.458	 0.211	      	-0.258	non 	halo 	HD121004  	208.49215	-46.53876
HD212036  	5687	 4.39	-0.01	 151	-0.028	 0.026	-0.125	 0.307	 0.039	 0.198	 0.097	-0.067	non 	thin 	HD212036  	335.55681	-39.82015
HD8930    	5687	 4.50	-0.23	  68	-0.017	 0.088	      	      	 0.267	 0.350	      	-0.284	non 	thin 	HD8930    	021.98152	-01.99149
HD16548   	5690	 3.94	 0.15	 411	-0.195	 0.029	-0.035	 0.071	-0.111	 0.072	-0.160	-0.084	non 	thin 	HD16548   	039.75337	-08.92790
HD104982  	5692	 4.42	-0.19	 409	-0.005	 0.049	-0.004	 0.164	 0.123	 0.094	-0.001	-0.128	non 	thin 	HD104982  	181.30587	-28.71723
HD71334   	5694	 4.35	-0.09	 379	-0.039	 0.027	 0.152	 0.111	 0.064	 0.098	-0.191	-0.103	non 	thin 	HD71334   	126.45632	-29.93059
HD8038    	5694	 4.43	 0.15	  58	-0.115	 0.034	      	      	 0.104	 0.326	      	-0.219	non 	thin 	HD8038    	019.87110	-24.95121
HD104800  	5697	 4.45	-0.79	 235	 0.250	 0.035	 0.636	 0.303	 0.586	 0.151	-0.386	-0.336	non 	thick	HD104800  	181.02318	+03.34075
HD220507  	5698	 4.27	 0.01	 725	 0.097	 0.015	 0.175	 0.049	 0.182	 0.043	-0.078	-0.085	non 	hamr 	HD220507  	351.17548	-52.70188
HD116259  	5700	 4.19	 0.11	 174	 0.074	 0.018	 0.101	 0.144	 0.083	 0.126	-0.027	-0.009	non 	hamr 	HD116259  	200.68169	-18.03090
HD12387   	5700	 4.37	-0.24	 958	 0.217	 0.019	 0.353	 0.050	 0.437	 0.040	-0.136	-0.220	non 	thick	HD12387   	030.13386	-40.73125
HD20619   	5703	 4.49	-0.22	 697	-0.039	 0.018	-0.006	 0.120	 0.002	 0.087	-0.033	-0.041	non 	thin 	HD20619   	049.75789	-02.84319
HD114853  	5705	 4.42	-0.23	1124	-0.032	 0.022	 0.103	 0.060	 0.237	 0.051	-0.135	-0.269	non 	thin 	HD114853  	198.46761	-45.18580
HD115902  	5705	 4.37	-0.01	  98	-0.042	 0.024	 0.007	 0.344	 0.262	 0.196	-0.049	-0.304	non 	thin 	HD115902  	200.09193	-09.05972
HD66428   	5705	 4.29	 0.25	 106	-0.011	 0.026	 0.003	 0.213	      	      	-0.014	      	jup 	thin 	HD66428   	120.86945	-01.16271
HD142879  	5707	 4.49	-0.39	  83	-0.025	 0.054	      	      	 0.307	 0.333	      	-0.332	non 	thin 	HD142879  	243.93887	-84.12453
HD28701   	5710	 4.39	-0.32	 654	 0.195	 0.039	 0.315	 0.079	 0.329	 0.056	-0.120	-0.134	non 	thick	HD28701   	066.44104	-69.99368
HD115585  	5711	 4.25	 0.35	 339	-0.020	 0.026	-0.024	 0.067	-0.001	 0.064	 0.004	-0.019	non 	thin 	HD115585  	199.96078	-70.85502
HD78558   	5711	 4.34	-0.44	 425	 0.289	 0.015	 0.607	 0.092	 0.498	 0.068	-0.318	-0.209	non 	thick	HD78558   	137.10516	-15.14479
HD90722   	5711	 4.26	 0.31	 115	 0.001	 0.043	-0.054	 0.193	-0.208	 0.245	 0.055	 0.209	non 	thin 	HD90722   	157.05803	-16.28916
HD96423   	5711	 4.33	 0.10	 424	-0.042	 0.014	 0.005	 0.084	 0.069	 0.067	-0.047	-0.111	non 	thin 	HD96423   	166.58227	-44.37332
HD16008   	5712	 4.40	-0.09	 134	 0.025	 0.014	 0.139	 0.254	-0.020	 0.271	-0.114	 0.045	jup 	thin 	HD16008   	038.45428	-19.61181
HD148577  	5713	 4.27	-0.09	 208	 0.139	 0.013	 0.246	 0.143	      	      	-0.107	      	non 	hamr 	HD148577  	247.43019	-18.68079
HD210272  	5713	 4.11	-0.22	 146	 0.008	 0.014	 0.167	 0.262	 0.064	 0.207	-0.159	-0.056	non 	thin 	HD210272  	332.70695	-55.45713
HD41248   	5713	 4.47	-0.37	 381	 0.005	 0.015	 0.266	 0.151	 0.153	 0.133	-0.261	-0.148	non 	thin 	HD41248   	090.13659	-56.16183
HD122474  	5716	 4.34	 0.13	  90	-0.051	 0.050	 0.090	 0.261	-0.013	 0.272	-0.141	-0.038	non 	thin 	HD122474  	210.58356	-12.03712
HD61383   	5716	 4.17	-0.49	 491	 0.103	 0.018	 0.294	 0.141	 0.543	 0.051	-0.191	-0.440	non 	thick	HD61383   	114.71392	-05.46554
HD97998   	5716	 4.54	-0.42	 340	 0.019	 0.017	      	      	 0.311	 0.121	      	-0.292	non 	thin 	HD97998   	168.95424	-39.32350
HD45289   	5717	 4.29	-0.02	 631	 0.041	 0.045	 0.151	 0.063	 0.229	 0.042	-0.110	-0.188	non 	hamr 	HD45289   	096.10146	-42.84752
HD77110   	5717	 4.45	-0.50	 436	 0.145	 0.018	 0.291	 0.167	 0.537	 0.066	-0.146	-0.392	non 	thick	HD77110   	134.82443	-35.31031
HD207832  	5718	 4.42	 0.15	 106	-0.036	 0.040	 0.104	 0.224	-0.034	 0.259	-0.140	-0.002	jup 	thin 	HD207832  	328.15117	-26.02656
HD26729   	5718	 4.14	 0.31	 149	-0.092	 0.062	 0.001	 0.138	      	      	-0.093	      	non 	thin 	HD26729   	063.09877	-31.58110
HD37962   	5718	 4.45	-0.20	 364	-0.064	 0.018	      	      	 0.148	 0.105	      	-0.212	non 	thin 	HD37962   	085.21652	-31.35111
HD2071    	5719	 4.44	-0.09	 468	-0.043	 0.018	 0.054	 0.105	 0.056	 0.086	-0.097	-0.099	non 	thin 	HD2071    	006.17729	-53.98400
HD40865   	5719	 4.47	-0.38	 566	 0.060	 0.017	 0.148	 0.125	 0.161	 0.093	-0.088	-0.101	non 	thin 	HD40865   	089.98247	-37.05672
HD19467   	5720	 4.28	-0.14	 537	 0.150	 0.010	 0.248	 0.068	 0.217	 0.058	-0.098	-0.067	non 	hamr 	HD19467   	046.82740	-13.76178
HD17439   	5721	 4.41	 0.08	 239	-0.047	 0.017	 0.035	 0.133	-0.005	 0.141	-0.082	-0.042	non 	thin 	HD17439   	041.01700	-68.14840
HD59711A  	5722	 4.43	-0.12	 271	-0.037	 0.012	-0.138	 0.240	 0.045	 0.146	 0.101	-0.082	non 	thin 	HD59711A  	112.66672	-15.99458
HD6718    	5723	 4.41	-0.07	 306	-0.039	 0.011	 0.018	 0.144	      	      	-0.057	      	jup 	thin 	HD6718    	016.95276	-08.23370
HD61986   	5725	 4.45	-0.34	 410	 0.058	 0.031	      	      	 0.190	 0.105	      	-0.132	non 	thin 	HD61986   	115.22657	-26.36351
HD189567  	5726	 4.38	-0.24	2006	 0.064	 0.010	 0.087	 0.041	 0.160	 0.036	-0.023	-0.096	nept	thin 	HD189567  	301.38652	-67.32090
HD33822   	5726	 4.26	 0.26	  86	-0.022	 0.034	-0.042	 0.256	 0.117	 0.190	 0.020	-0.139	non 	thin 	HD33822   	077.87299	-33.88066
HD8406    	5726	 4.47	-0.10	 388	-0.065	 0.025	 0.018	 0.129	 0.116	 0.100	-0.083	-0.181	non 	thin 	HD8406    	020.75364	-16.48746
HD178904  	5727	 4.38	 0.09	 159	-0.006	 0.037	-0.078	 0.219	 0.100	 0.154	 0.072	-0.106	non 	thin 	HD178904  	288.25376	-49.90283
BD+083095 	5728	 4.09	-0.77	 103	 0.133	 0.034	      	      	      	      	      	      	non 	thick	BD+083095 	237.74556	+08.42326
HD172568  	5728	 4.55	-0.37	 145	 0.057	 0.053	      	      	 0.425	 0.184	      	-0.368	non 	thin 	HD172568  	280.78637	-45.90077
HD89454   	5728	 4.44	 0.12	1159	-0.128	 0.014	-0.125	 0.040	-0.122	 0.042	-0.003	-0.006	non 	thin 	HD89454   	154.81784	-11.37851
HD114613  	5729	 3.94	 0.19	2005	-0.073	 0.017	-0.038	 0.040	      	      	-0.035	      	jup 	thin 	HD114613  	198.01326	-37.80302
HD3964    	5729	 4.47	 0.05	 144	 0.011	 0.020	      	      	-0.035	 0.235	      	 0.046	non 	thin 	HD3964    	010.54074	-03.05638
HD101339  	5731	 4.45	-0.10	 193	-0.018	 0.023	      	      	 0.188	 0.151	      	-0.206	non 	thin 	HD101339  	174.91582	-04.98447
HD38858   	5733	 4.48	-0.22	1154	-0.006	 0.011	 0.019	 0.068	 0.040	 0.051	-0.025	-0.046	jup 	thin 	HD38858   	087.14558	-04.09464
HD56274   	5734	 4.48	-0.54	 611	 0.090	 0.020	 0.364	 0.119	 0.168	 0.098	-0.274	-0.078	non 	thin 	HD56274   	108.96165	-13.04948
HD197083  	5735	 4.47	-0.45	 353	 0.084	 0.071	 0.249	 0.196	      	      	-0.165	      	non 	thin 	HD197083  	310.61447	-33.32865
HD214954  	5738	 4.45	 0.14	  38	 0.115	 0.049	      	      	 0.118	 0.448	      	-0.003	non 	thin 	HD214954  	340.87003	-64.81199
HD134987  	5740	 4.27	 0.25	1312	 0.025	 0.020	 0.016	 0.059	 0.002	 0.031	 0.009	 0.023	jup 	thin 	HD134987  	228.36945	-25.30935
HD33473A  	5740	 3.94	-0.13	 378	-0.079	 0.025	-0.020	 0.123	 0.118	 0.067	-0.059	-0.197	jup 	thin 	HD33473   	077.12465	-41.21370
HD204287  	5743	 4.12	-0.04	 284	 0.014	 0.022	 0.081	 0.115	      	      	-0.067	      	non 	thin 	HD204287  	322.31032	-50.31684
HD29428   	5743	 4.45	-0.06	 106	-0.059	 0.038	      	      	 0.017	 0.305	      	-0.076	non 	thin 	HD29428   	069.06355	-39.41450
HD92788   	5744	 4.36	 0.27	 789	-0.062	 0.022	-0.131	 0.046	-0.022	 0.051	 0.069	-0.040	jup 	thin 	HD92788   	160.70220	-02.18376
HD28471   	5745	 4.34	-0.05	 544	-0.030	 0.012	 0.073	 0.074	 0.099	 0.060	-0.103	-0.129	non 	thin 	HD28471   	066.28813	-64.08007
HD199288  	5746	 4.43	-0.63	1068	 0.223	 0.018	 0.422	 0.079	 0.518	 0.044	-0.199	-0.295	non 	thick	HD199288  	314.41695	-44.12937
HD67      	5746	 4.53	 0.03	 230	-0.115	 0.018	-0.288	 0.261	-0.104	 0.198	 0.173	-0.011	non 	thin 	HD67      	001.36855	-61.22585
HD149724  	5747	 4.21	 0.37	 124	-0.091	 0.067	-0.016	 0.150	      	      	-0.075	      	non 	thin 	HD149724  	249.20232	-06.29430
HD113513  	5751	 4.51	 0.17	  28	-0.338	 0.157	      	      	      	      	      	      	non 	thin 	HD113513  	196.71086	-77.87049
HD11505   	5752	 4.35	-0.22	 462	 0.125	 0.013	 0.239	 0.091	 0.342	 0.062	-0.114	-0.217	non 	thick	HD11505   	028.27583	-01.32694
HD19423   	5752	 4.20	-0.09	  86	 0.041	 0.017	 0.266	 0.281	 0.067	 0.289	-0.225	-0.026	non 	thin 	HD19423   	046.22880	-57.16627
HD210918  	5755	 4.31	-0.09	1470	 0.045	 0.011	 0.155	 0.047	 0.219	 0.034	-0.110	-0.174	non 	thin 	HD210918  	333.66106	-41.38166
HD105004  	5756	 4.29	-0.81	 138	 0.169	 0.079	 0.687	 0.362	 0.472	 0.262	-0.518	-0.303	non 	halo 	HD105004  	181.35355	-26.59548
HD140785  	5756	 4.08	-0.05	 140	-0.006	 0.028	 0.035	 0.223	      	      	-0.041	      	non 	thin 	HD140785  	236.80359	-42.20472
HD41323   	5756	 4.52	-0.31	 415	-0.013	 0.018	-0.085	 0.233	 0.190	 0.108	 0.072	-0.203	non 	thin 	HD41323   	090.56113	-44.00931
HD202206  	5757	 4.43	 0.29	1129	-0.171	 0.019	-0.092	 0.034	-0.203	 0.052	-0.079	 0.032	jup 	thin 	HD202206  	318.74070	-20.78921
HD78429   	5760	 4.29	 0.09	1613	-0.024	 0.017	 0.009	 0.031	      	      	-0.033	      	non 	thin 	HD78429   	136.66180	-43.49198
HD90702   	5760	 4.52	 0.20	 103	-0.079	 0.049	-0.115	 0.270	 0.005	 0.256	 0.036	-0.084	non 	thin 	HD90702   	156.98257	-21.70161
HD212231  	5762	 4.16	-0.30	 136	 0.127	 0.018	 0.241	 0.270	 0.388	 0.147	-0.114	-0.261	non 	thick	HD212231  	335.81031	-25.84229
HD69611   	5762	 4.27	-0.58	 260	 0.249	 0.020	 0.783	 0.119	 0.618	 0.090	-0.534	-0.369	non 	thick	HD69611   	124.37228	-03.98962
HD199847  	5763	 4.18	-0.54	 210	 0.216	 0.029	 0.611	 0.169	 0.486	 0.113	-0.395	-0.270	non 	thick	HD199847  	315.66257	-61.88055
HD218885  	5763	 4.42	-0.28	  58	 0.027	 0.064	      	      	 0.113	 0.492	      	-0.086	non 	thin 	HD218885  	347.92763	-16.90149
HD175179  	5764	 4.42	-0.66	 175	 0.265	 0.020	      	      	 0.565	 0.164	      	-0.300	non 	thick	HD175179  	283.59668	-04.60517
HD76440   	5764	 4.39	-0.01	  97	-0.051	 0.038	-0.113	 0.380	 0.085	 0.270	 0.062	-0.136	non 	thin 	HD76440   	133.51166	-51.58424
HIP99606B 	5764	 4.15	-0.41	  74	 0.167	 0.060	      	      	      	      	      	      	non 	thick	HIP99606  	303.20893	-34.90213
HD1461    	5765	 4.34	 0.19	1789	-0.050	 0.018	-0.055	 0.055	-0.025	 0.057	 0.005	-0.025	nept	thin 	HD1461    	004.67445	-08.05300
HD44219   	5766	 4.16	 0.04	 407	 0.001	 0.018	 0.107	 0.078	 0.061	 0.072	-0.106	-0.060	jup 	thin 	HD44219   	095.05968	-10.72501
HD88084   	5766	 4.38	-0.10	 197	-0.016	 0.011	-0.041	 0.232	      	      	 0.025	      	non 	thin 	HD88084   	152.28436	-15.49450
HD27063   	5767	 4.40	 0.05	1013	-0.099	 0.015	-0.027	 0.049	 0.005	 0.046	-0.072	-0.104	non 	thin 	HD27063   	064.12601	-00.57280
HD72374   	5767	 4.31	-0.09	 130	 0.004	 0.049	      	      	 0.023	 0.240	      	-0.019	non 	thin 	HD72374   	127.28085	-61.87340
HD113679  	5768	 4.22	-0.61	 192	 0.130	 0.068	 0.618	 0.202	 0.666	 0.105	-0.488	-0.536	non 	halo 	HD113679  	196.47010	-38.51666
HD29137   	5768	 4.24	 0.30	 192	 0.016	 0.025	-0.049	 0.115	 0.124	 0.089	 0.065	-0.108	non 	thin 	HD29137   	067.54674	-67.87755
HD18001   	5772	 4.40	-0.07	 261	-0.075	 0.017	 0.118	 0.135	 0.086	 0.126	-0.193	-0.161	non 	thin 	HD18001   	043.17171	-31.56219
HD216008  	5773	 4.34	-0.04	 136	 0.010	 0.015	 0.099	 0.224	 0.086	 0.202	-0.089	-0.076	non 	thin 	HD216008  	342.44209	-37.85447
HD22249   	5773	 4.59	-0.06	 105	-0.139	 0.037	      	      	 0.004	 0.344	      	-0.143	non 	thin 	HD22249   	053.26590	-46.72230
HD95521   	5773	 4.45	-0.15	 503	-0.038	 0.020	-0.042	 0.114	 0.053	 0.097	 0.004	-0.091	non 	thin 	HD95521   	165.20943	-49.01984
HD20782   	5774	 4.33	-0.06	 692	-0.025	 0.010	 0.070	 0.062	 0.137	 0.057	-0.095	-0.162	jup 	thin 	HD20782   	050.01491	-28.85407
HD224393  	5774	 4.50	-0.38	 354	-0.060	 0.017	      	      	 0.132	 0.147	      	-0.192	non 	thin 	HD224393  	359.39769	-65.77556
HD108309  	5775	 4.19	 0.12	 698	 0.022	 0.020	 0.035	 0.051	 0.065	 0.045	-0.013	-0.043	non 	thin 	HD108309  	186.70059	-48.91319
HD143114  	5775	 4.35	-0.41	 308	 0.158	 0.035	 0.268	 0.171	 0.369	 0.103	-0.110	-0.211	non 	thick	HD143114  	239.90945	-29.63256
HD190613  	5776	 4.29	 0.00	 121	 0.009	 0.039	 0.008	 0.257	 0.170	 0.178	 0.001	-0.161	non 	thin 	HD190613  	301.59955	-14.91213
HD204313  	5776	 4.34	 0.18	 873	-0.007	 0.016	-0.033	 0.045	 0.022	 0.044	 0.026	-0.029	jup 	thin 	HD204313  	322.05086	-21.72625
HD145809  	5778	 4.11	-0.25	 555	 0.034	 0.012	 0.194	 0.078	 0.298	 0.051	-0.160	-0.264	non 	thin 	HD145809  	243.41810	-21.39996
HD21938   	5778	 4.34	-0.47	 310	 0.227	 0.019	 0.534	 0.123	      	      	-0.307	      	non 	thick	HD21938   	052.70976	-37.37229
HD119173  	5779	 4.22	-0.62	 106	 0.106	 0.044	      	      	 0.433	 0.260	      	-0.327	non 	thin 	HD119173  	205.42785	-04.02941
HD222582  	5779	 4.33	-0.01	 928	-0.011	 0.018	-0.036	 0.053	 0.004	 0.047	 0.025	-0.015	jup 	thin 	HD222582  	355.46471	-05.98576
HD160691  	5780	 4.23	 0.30	2007	-0.051	 0.024	-0.026	 0.034	-0.036	 0.038	-0.025	-0.015	jup 	thin 	HD160691  	266.03627	-51.83405
HD29263   	5780	 4.31	 0.03	 131	 0.088	 0.056	-0.002	 0.233	      	      	 0.090	      	non 	thin 	HD29263   	068.94038	-21.33993
HD134113  	5782	 4.21	-0.74	 611	 0.235	 0.028	 0.616	 0.092	 0.808	 0.037	-0.381	-0.573	jup 	thick	HD134113  	226.94375	+08.87978
HD134702  	5782	 4.46	-0.04	 126	-0.082	 0.032	-0.037	 0.300	-0.203	 0.374	-0.045	 0.121	non 	thin 	HD134702  	228.12641	-35.91894
HD109271  	5783	 4.24	 0.10	 339	-0.110	 0.023	-0.038	 0.097	 0.013	 0.088	-0.072	-0.123	nept	thin 	HD109271  	188.39814	-11.62187
HD74698   	5783	 4.23	 0.07	 381	-0.011	 0.014	 0.067	 0.079	 0.124	 0.066	-0.078	-0.135	non 	thin 	HD74698   	130.07301	-71.87714
HD78538   	5786	 4.46	-0.03	 355	-0.173	 0.025	-0.007	 0.118	 0.062	 0.102	-0.166	-0.235	non 	thin 	HD78538   	137.19569	-05.11609
HD76151   	5788	 4.44	 0.12	 325	-0.060	 0.019	-0.084	 0.108	-0.071	 0.118	 0.024	 0.011	non 	thin 	HD76151   	133.57478	-05.43446
HD78747   	5788	 4.40	-0.67	 798	 0.247	 0.027	 0.645	 0.067	 0.512	 0.058	-0.398	-0.265	non 	thick	HD78747   	136.98573	-50.48245
HD215456  	5789	 4.06	-0.09	1480	-0.001	 0.016	 0.073	 0.034	 0.135	 0.031	-0.074	-0.136	jup 	thin 	HD215456  	341.53348	-48.97882
HD155968  	5790	 4.38	 0.16	  75	-0.178	 0.065	      	      	      	      	      	      	non 	thin 	HD155968  	258.74197	-02.50315
HD105779  	5792	 4.47	-0.25	 205	 0.010	 0.016	      	      	 0.205	 0.173	      	-0.195	non 	thin 	HD105779  	182.66227	-16.95629
HD181720  	5792	 4.21	-0.53	 695	 0.175	 0.024	 0.464	 0.077	      	      	-0.289	      	jup 	thick	HD181720  	290.72077	-32.91905
HD131218  	5797	 4.50	-0.06	  61	-0.119	 0.066	      	      	-0.014	 0.485	      	-0.105	non 	thin 	HD131218  	224.91344	-78.51086
HD111031  	5801	 4.34	 0.27	 987	-0.047	 0.018	-0.079	 0.047	      	      	 0.032	      	jup 	thin 	HD111031  	191.62851	-11.81244
HD183658  	5803	 4.35	 0.03	 370	-0.012	 0.017	-0.073	 0.109	      	      	 0.061	      	non 	thin 	HD183658  	292.71966	-06.51442
HD107148  	5805	 4.35	 0.31	 110	-0.107	 0.057	-0.122	 0.194	-0.092	 0.227	 0.015	-0.015	jup 	thin 	HD107148  	184.80621	-03.31979
HD16141   	5806	 4.14	 0.16	 310	-0.089	 0.030	-0.083	 0.095	 0.102	 0.069	-0.006	-0.191	jup 	thin 	HD16141   	038.83304	-03.56060
HD19641   	5806	 4.34	-0.01	 395	-0.009	 0.013	-0.084	 0.107	 0.037	 0.086	 0.075	-0.046	non 	thin 	HD19641   	047.11008	-37.85223
HD214867  	5807	 4.61	 0.01	 122	-0.212	 0.034	      	      	 0.127	 0.241	      	-0.339	non 	thin 	HD214867  	340.43947	-39.46164
HD197197  	5812	 4.15	-0.46	 486	 0.012	 0.012	 0.327	 0.107	 0.360	 0.064	-0.315	-0.348	non 	thick	HD197197  	310.65490	-13.09481
HD4307    	5812	 4.05	-0.23	1017	 0.027	 0.011	 0.149	 0.051	 0.180	 0.036	-0.122	-0.153	non 	thin 	HD4307    	011.36953	-12.88081
HD199604  	5817	 4.29	-0.62	 301	 0.202	 0.016	 0.379	 0.197	 0.460	 0.115	-0.177	-0.258	non 	thick	HD199604  	314.77199	-25.38083
HD146233  	5818	 4.40	 0.04	1140	-0.086	 0.010	 0.024	 0.043	 0.019	 0.047	-0.110	-0.105	non 	thin 	HD146233  	243.90529	-08.36944
HD32724   	5818	 4.21	-0.17	 487	 0.015	 0.013	 0.119	 0.086	 0.225	 0.059	-0.104	-0.210	non 	thin 	HD32724   	076.19818	-11.69903
HD44420   	5818	 4.32	 0.29	 521	-0.014	 0.031	-0.056	 0.049	 0.016	 0.053	 0.042	-0.030	non 	thin 	HD44420   	095.43140	-00.53913
HD145927  	5819	 4.36	-0.03	 130	-0.028	 0.019	 0.054	 0.231	 0.260	 0.158	-0.082	-0.288	non 	thin 	HD145927  	244.02675	-52.81455
HD29303   	5819	 4.47	-0.12	  60	-0.035	 0.019	      	      	      	      	      	      	non 	thin 	HD29303   	068.76900	-41.56373
HD206998  	5822	 4.19	-0.69	 224	 0.187	 0.018	 0.514	 0.226	      	      	-0.327	      	non 	thick	HD206998  	326.93337	-55.65460
HD149747  	5823	 3.90	-0.34	 166	-0.087	 0.027	      	      	      	      	      	      	non 	thin 	HD149747  	259.99782	-87.24295
HD92719   	5824	 4.46	-0.10	 829	-0.099	 0.014	-0.048	 0.066	 0.032	 0.058	-0.051	-0.131	non 	thin 	HD92719   	160.55550	-13.78771
HD190524  	5825	 4.45	-0.13	 143	-0.063	 0.030	      	      	      	      	      	      	non 	thin 	HD190524  	301.45291	-15.75622
