#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-06-13T18:38:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62a783cd26d7c	
#INFO	-out.max=9999	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=9999
#-out.all=2
#-order=I
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/tablea1}&key:source=J/MNRAS/403/1413/tablea1&HTTPPRM:&&-ref=VIZ62a783cd26d7c&-out.max=1000&-out.form=ascii table&-out.all=2&-order=I&-oc.form=sexa&-out.src=J/MNRAS/403/1413/tablea1&-out=M0&-out=Z0&-out=Pulse&-out=Mcore&-out=Mcsh&-out=tcsh&-out=Ddredge&-out=lam&-out=lam.dup&-out=T(He-sh)&-out=Tbce&-out=T(H-sh)&-out=iPulse&-out=Mtot&-out=Lmax&-out=LHe.max&-out=Rmax&-out=Mbol&-out=Teff&-out=Yields&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/403/1413/tablea1
#-source=J/MNRAS/403/1413/tablea1
#-out=M0
#-out=Z0
#-out=Pulse
#-out=Mcore
#-out=Mcsh
#-out=tcsh
#-out=Ddredge
#-out=lam
#-out=lam.dup
#-out=T(He-sh)
#-out=Tbce
#-out=T(H-sh)
#-out=iPulse
#-out=Mtot
#-out=Lmax
#-out=LHe.max
#-out=Rmax
#-out=Mbol
#-out=Teff
#-out=Yields
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table	J_MNRAS_403_1413_tablea1:
#Name: J/MNRAS/403/1413/tablea1
#Title: Structural information from the new AGB models
#Column	M0	(F5.2)	[1/6] Initial mass	[ucd=phys.mass]
#Column	Z0	(F7.4)	Initial metallicity (0.0200, 0.0080, 0.0040, 0.0001)	[ucd=phys.abund.Z]
#Column	Pulse	(I4)	Pulse number	[ucd=meta.id]
#Column	Mcore	(F5.3)	Core mass	[ucd=phys.mass]
#Column	Mcsh	(E9.2)	Maximum mass of the intershell convection zone	[ucd=phys.mass]
#Column	tcsh	(F6.1)	Duration of intershell convection	[ucd=time.interval]
#Column	Ddredge	(E9.2)	Mass dredged into the envelope	[ucd=phys.mass]
#Column	lam	(E9.2)	Extent of the partial mixing zone, lambda	[ucd=stat.fit.param]
#Column	lam.dup	(D13.6)	{lambda}_dup_ defined by Goriely & Mowlavi (2000A&A...362..599G) (1)	[ucd=stat.fit.param]
#Column	T(He-sh)	(E9.2)	Maximum temperature in the He-shell	[ucd=phys.temperature]
#Column	Tbce	(E9.2)	Maximum temperature at the base of the convective envelope during the previous interpulse period	[ucd=phys.temperature]
#Column	T(H-sh)	(E9.2)	Maximum temperature in the H-shell during the previous interpulse period	[ucd=phys.temperature]
#Column	iPulse	(E9.2)	Interpulse period (note that the first entry is set to zero)	[ucd=time.period]
#Column	Mtot	(F5.3)	Total mass	[ucd=phys.mass]
#Column	Lmax	(E9.2)	Maximum radiated luminosity during the previous interpulse period	[ucd=phys.luminosity]
#Column	LHe.max	(E9.2)	Maximum He-luminosity during a thermal pulse	[ucd=phys.luminosity]
#Column	Rmax	(E9.2)	Maximum stellar radius during the previous interpulse period	[ucd=phys.size.radius;stat.max]
#Column	Mbol	(F6.2)	Bolometric magnitude	[ucd=phys.magAbs.bol]
#Column	Teff	(F5)	Effective temperature	[ucd=phys.temperature.effective]
#Column	Yields	(a6)	Yields for the various elements	[ucd=meta.ref.url]
M0	Z0	Pulse	Mcore	Mcsh	tcsh	Ddredge	lam	lam.dup	T(He-sh)	Tbce	T(H-sh)	iPulse	Mtot	Lmax	LHe.max	Rmax	Mbol	Teff	Yields
 2.10	 0.0040	  18	0.639	 2.15e-02	 221.7	 7.53e-03	 6.59e-01	 3.501552e-01	 2.85e+08	 3.75e+06	 6.38e+07	 1.00e+05	2.052	 9.65e+03	 1.19e+08	 3.71e+02	 -5.24	 3252	Yields
 2.10	 0.0040	  19	0.643	 2.09e-02	 195.0	 7.79e-03	 6.82e-01	 3.724376e-01	 2.88e+08	 3.81e+06	 6.40e+07	 9.56e+04	2.016	 1.00e+04	 1.22e+08	 3.89e+02	 -5.28	 3208	Yields
 2.10	 0.0040	  20	0.647	 2.04e-02	 163.4	 6.55e-03	 5.72e-01	 3.202046e-01	 2.90e+08	 3.76e+06	 6.41e+07	 9.12e+04	1.685	 1.03e+04	 1.25e+08	 4.49e+02	 -5.32	 3157	Yields
 4.50	 0.0040	   1	0.861	 3.99e-03	  37.7	 0.00e+00	 0.00e+00	 0.000000e+00	 2.36e+08	 1.46e+07	 7.42e+07	 0.00e+00	4.468	 1.78e+04	 2.48e+05	 3.33e+02	 -5.91	 3769	Yields
 4.50	 0.0040	   2	0.862	 4.06e-03	  32.1	 3.92e-04	 3.39e-01	 9.655850e-02	 2.48e+08	 1.77e+07	 7.56e+07	 6.01e+03	4.468	 1.86e+04	 4.77e+05	 3.44e+02	 -5.95	 3756	Yields
 4.50	 0.0040	   3	0.863	 4.12e-03	  28.0	 8.35e-04	 5.96e-01	 2.025935e-01	 2.60e+08	 2.13e+07	 7.70e+07	 6.40e+03	4.468	 1.93e+04	 9.40e+05	 3.56e+02	 -6.00	 3739	Yields
 4.50	 0.0040	   4	0.864	 4.16e-03	  25.3	 1.42e-03	 8.52e-01	 3.406353e-01	 2.71e+08	 2.54e+07	 7.81e+07	 6.90e+03	4.468	 2.00e+04	 1.81e+06	 3.67e+02	 -6.03	 3719	Yields
 4.50	 0.0040	   5	0.864	 4.22e-03	  25.5	 1.79e-03	 9.21e-01	 4.255689e-01	 2.81e+08	 3.01e+07	 7.92e+07	 7.37e+03	4.468	 2.07e+04	 3.54e+06	 3.81e+02	 -6.07	 3687	Yields
 4.50	 0.0040	   6	0.864	 4.25e-03	  26.3	 2.08e-03	 9.44e-01	 4.900382e-01	 2.87e+08	 3.44e+07	 8.00e+07	 7.92e+03	4.468	 2.13e+04	 6.47e+06	 3.95e+02	 -6.10	 3621	Yields
 4.50	 0.0040	   7	0.865	 4.29e-03	  25.5	 2.17e-03	 8.81e-01	 5.054528e-01	 2.98e+08	 3.89e+07	 8.07e+07	 8.48e+03	4.467	 2.19e+04	 9.53e+06	 4.09e+02	 -6.13	 3573	Yields
 4.50	 0.0040	   8	0.865	 4.29e-03	  24.7	 2.56e-03	 9.86e-01	 5.971627e-01	 3.05e+08	 4.29e+07	 8.13e+07	 8.78e+03	4.467	 2.24e+04	 1.69e+07	 4.22e+02	 -6.16	 3529	Yields
 4.50	 0.0040	   9	0.866	 4.42e-03	  25.6	 2.68e-03	 9.06e-01	 6.058987e-01	 3.13e+08	 4.81e+07	 8.19e+07	 9.55e+03	4.467	 2.30e+04	 2.94e+07	 4.36e+02	 -6.18	 3501	Yields
 4.50	 0.0040	  10	0.866	 4.45e-03	  27.6	 2.84e-03	 9.33e-01	 6.379968e-01	 3.19e+08	 5.24e+07	 8.23e+07	 9.65e+03	4.467	 2.36e+04	 4.10e+07	 4.48e+02	 -6.21	 3467	Yields
 4.50	 0.0040	  11	0.866	 4.54e-03	  26.7	 3.04e-03	 9.43e-01	 6.683764e-01	 3.23e+08	 5.71e+07	 8.27e+07	 9.94e+03	4.467	 2.43e+04	 5.82e+07	 4.60e+02	 -6.24	 3447	Yields
 4.50	 0.0040	  12	0.867	 4.62e-03	  27.8	 3.20e-03	 9.47e-01	 6.921549e-01	 3.31e+08	 6.12e+07	 8.31e+07	 1.02e+04	4.467	 2.52e+04	 8.06e+07	 4.70e+02	 -6.28	 3441	Yields
 4.50	 0.0040	  13	0.867	 4.80e-03	  28.0	 3.43e-03	 9.31e-01	 7.147540e-01	 3.35e+08	 6.51e+07	 8.34e+07	 1.09e+04	4.466	 2.66e+04	 1.23e+08	 4.76e+02	 -6.34	 3461	Yields
 4.50	 0.0040	  14	0.867	 4.91e-03	  27.0	 3.64e-03	 9.39e-01	 7.406518e-01	 3.39e+08	 6.70e+07	 8.36e+07	 1.12e+04	4.466	 2.74e+04	 1.68e+08	 4.87e+02	 -6.37	 3462	Yields
 4.50	 0.0040	  15	0.868	 4.96e-03	  28.2	 3.81e-03	 9.81e-01	 7.685320e-01	 3.46e+08	 6.85e+07	 8.38e+07	 1.12e+04	4.465	 2.77e+04	 2.03e+08	 4.99e+02	 -6.39	 3433	Yields
 4.50	 0.0040	  16	0.868	 4.99e-03	  23.1	 3.86e-03	 9.37e-01	 7.729511e-01	 3.36e+08	 6.99e+07	 8.39e+07	 1.17e+04	4.463	 2.82e+04	 2.18e+08	 5.07e+02	 -6.40	 3416	Yields
 4.50	 0.0040	  17	0.868	 5.02e-03	  25.1	 3.94e-03	 9.61e-01	 7.843261e-01	 3.42e+08	 7.17e+07	 8.41e+07	 1.15e+04	4.462	 2.87e+04	 2.24e+08	 5.12e+02	 -6.42	 3415	Yields
 4.50	 0.0040	  18	0.868	 5.04e-03	  22.6	 4.03e-03	 9.58e-01	 7.994274e-01	 3.47e+08	 7.36e+07	 8.44e+07	 1.17e+04	4.460	 2.92e+04	 2.95e+08	 5.13e+02	 -6.45	 3430	Yields
 4.50	 0.0040	  19	0.869	 5.07e-03	  22.0	 3.97e-03	 9.33e-01	 7.829853e-01	 3.43e+08	 7.53e+07	 8.47e+07	 1.17e+04	4.458	 2.98e+04	 3.58e+08	 5.13e+02	 -6.47	 3448	Yields
 4.50	 0.0040	  20	0.869	 5.16e-03	  22.8	 4.25e-03	 9.63e-01	 8.249005e-01	 3.57e+08	 7.67e+07	 8.49e+07	 1.21e+04	4.457	 3.04e+04	 3.80e+08	 5.13e+02	 -6.49	 3467	Yields
 4.50	 0.0040	  21	0.869	 5.18e-03	  24.9	 4.19e-03	 9.42e-01	 8.085897e-01	 3.51e+08	 7.74e+07	 8.51e+07	 1.21e+04	4.455	 3.08e+04	 4.17e+08	 5.14e+02	 -6.50	 3475	Yields
 4.50	 0.0040	  22	0.869	 5.18e-03	  22.8	 4.07e-03	 9.19e-01	 7.862718e-01	 3.40e+08	 7.78e+07	 8.52e+07	 1.20e+04	4.453	 3.12e+04	 4.33e+08	 5.16e+02	 -6.51	 3474	Yields
 4.50	 0.0040	  23	0.870	 5.21e-03	  23.9	 4.25e-03	 9.42e-01	 8.155558e-01	 3.50e+08	 7.81e+07	 8.53e+07	 1.22e+04	4.451	 3.16e+04	 5.22e+08	 5.20e+02	 -6.53	 3470	Yields
 4.50	 0.0040	  24	0.870	 5.21e-03	  23.7	 4.17e-03	 9.23e-01	 7.988409e-01	 3.43e+08	 7.82e+07	 8.53e+07	 1.21e+04	4.448	 3.18e+04	 5.89e+08	 5.26e+02	 -6.54	 3462	Yields
 4.50	 0.0040	  25	0.870	 5.19e-03	  22.8	 4.28e-03	 9.58e-01	 8.255662e-01	 3.43e+08	 7.83e+07	 8.52e+07	 1.20e+04	4.445	 3.20e+04	 5.98e+08	 5.29e+02	 -6.54	 3456	Yields
 4.50	 0.0040	  26	0.870	 5.22e-03	  24.5	 4.24e-03	 9.32e-01	 8.121772e-01	 3.51e+08	 7.85e+07	 8.53e+07	 1.21e+04	4.441	 3.24e+04	 6.44e+08	 5.33e+02	 -6.56	 3452	Yields
 4.50	 0.0040	  27	0.870	 5.22e-03	  25.4	 4.16e-03	 9.03e-01	 7.965521e-01	 3.44e+08	 7.85e+07	 8.52e+07	 1.22e+04	4.437	 3.26e+04	 6.36e+08	 5.39e+02	 -6.56	 3444	Yields
 4.50	 0.0040	  28	0.870	 5.20e-03	  24.5	 4.29e-03	 9.44e-01	 8.250413e-01	 3.51e+08	 7.86e+07	 8.52e+07	 1.20e+04	4.431	 3.28e+04	 5.88e+08	 5.42e+02	 -6.57	 3442	Yields
 4.50	 0.0040	  29	0.871	 5.21e-03	  24.8	 4.08e-03	 8.95e-01	 7.832285e-01	 3.54e+08	 7.86e+07	 8.51e+07	 1.20e+04	4.425	 3.30e+04	 6.53e+08	 5.46e+02	 -6.58	 3434	Yields
 4.50	 0.0040	  30	0.871	 5.19e-03	  25.3	 4.24e-03	 9.32e-01	 8.179437e-01	 3.57e+08	 7.86e+07	 8.51e+07	 1.19e+04	4.418	 3.32e+04	 7.04e+08	 5.50e+02	 -6.58	 3429	Yields
 4.50	 0.0040	  31	0.871	 5.20e-03	  26.7	 4.52e-03	 9.61e-01	 8.690197e-01	 3.43e+08	 7.87e+07	 8.51e+07	 1.22e+04	4.408	 3.35e+04	 6.66e+08	 5.55e+02	 -6.59	 3427	Yields
 4.50	 0.0040	  32	0.871	 5.22e-03	  27.9	 4.39e-03	 9.30e-01	 8.398959e-01	 3.59e+08	 7.87e+07	 8.51e+07	 1.22e+04	4.398	 3.37e+04	 6.70e+08	 5.59e+02	 -6.60	 3423	Yields
 4.50	 0.0040	  33	0.871	 5.19e-03	  26.6	 4.49e-03	 9.57e-01	 8.643569e-01	 3.43e+08	 7.87e+07	 8.50e+07	 1.21e+04	4.385	 3.38e+04	 8.02e+08	 5.61e+02	 -6.60	 3418	Yields
 4.50	 0.0040	  34	0.872	 5.16e-03	  27.1	 4.43e-03	 9.52e-01	 8.584819e-01	 3.52e+08	 7.87e+07	 8.50e+07	 1.20e+04	4.371	 3.39e+04	 7.78e+08	 5.63e+02	 -6.61	 3414	Yields
 4.50	 0.0040	  35	0.872	 5.14e-03	  27.3	 4.18e-03	 8.92e-01	 8.135114e-01	 3.43e+08	 7.86e+07	 8.49e+07	 1.20e+04	4.354	 3.40e+04	 6.73e+08	 5.67e+02	 -6.61	 3409	Yields
 4.50	 0.0040	  36	0.872	 5.03e-03	  25.3	 4.33e-03	 9.78e-01	 8.608812e-01	 3.57e+08	 7.85e+07	 8.48e+07	 1.14e+04	4.337	 3.40e+04	 6.11e+08	 5.66e+02	 -6.61	 3403	Yields
 4.50	 0.0040	  37	0.872	 4.98e-03	  25.8	 4.02e-03	 8.96e-01	 8.062451e-01	 3.45e+08	 7.84e+07	 8.47e+07	 1.15e+04	4.315	 3.41e+04	 6.27e+08	 5.71e+02	 -6.61	 3395	Yields
 4.50	 0.0040	  38	0.872	 4.92e-03	  26.4	 4.21e-03	 9.53e-01	 8.563927e-01	 3.52e+08	 7.83e+07	 8.46e+07	 1.13e+04	4.291	 3.42e+04	 5.68e+08	 5.73e+02	 -6.62	 3390	Yields
 4.50	 0.0040	  39	0.872	 4.86e-03	  26.4	 4.07e-03	 9.51e-01	 8.361118e-01	 3.66e+08	 7.82e+07	 8.46e+07	 1.09e+04	4.264	 3.42e+04	 5.40e+08	 5.73e+02	 -6.61	 3382	Yields
 4.50	 0.0040	  40	0.872	 4.74e-03	  25.4	 3.97e-03	 9.34e-01	 8.360999e-01	 3.53e+08	 7.79e+07	 8.44e+07	 1.08e+04	4.231	 3.41e+04	 5.31e+08	 5.76e+02	 -6.61	 3372	Yields
 4.50	 0.0040	  41	0.872	 4.68e-03	  25.3	 4.02e-03	 9.60e-01	 8.590379e-01	 3.48e+08	 7.78e+07	 8.43e+07	 1.06e+04	4.194	 3.41e+04	 4.52e+08	 5.77e+02	 -6.61	 3368	Yields
 4.50	 0.0040	  42	0.873	 4.65e-03	  26.7	 4.01e-03	 9.60e-01	 8.624597e-01	 3.58e+08	 7.76e+07	 8.42e+07	 1.06e+04	4.147	 3.40e+04	 4.58e+08	 5.80e+02	 -6.61	 3357	Yields
 4.50	 0.0040	  43	0.873	 4.64e-03	  27.6	 3.84e-03	 9.24e-01	 8.278998e-01	 3.52e+08	 7.74e+07	 8.41e+07	 1.05e+04	4.088	 3.39e+04	 4.64e+08	 5.81e+02	 -6.60	 3350	Yields
 4.50	 0.0040	  44	0.873	 4.72e-03	  25.6	 4.06e-03	 9.66e-01	 8.588989e-01	 3.65e+08	 7.71e+07	 8.40e+07	 1.06e+04	4.007	 3.37e+04	 5.23e+08	 5.84e+02	 -6.60	 3338	Yields
 4.50	 0.0040	  45	0.873	 4.76e-03	  25.8	 4.11e-03	 9.59e-01	 8.626572e-01	 3.51e+08	 7.65e+07	 8.39e+07	 1.08e+04	3.877	 3.34e+04	 5.37e+08	 5.87e+02	 -6.59	 3320	Yields
 4.50	 0.0040	  46	0.873	 4.81e-03	  26.7	 4.14e-03	 9.50e-01	 8.606650e-01	 3.49e+08	 7.57e+07	 8.37e+07	 1.10e+04	3.568	 3.28e+04	 6.28e+08	 5.90e+02	 -6.57	 3298	Yields
 4.50	 0.0040	  47	0.874	 4.85e-03	  26.3	 3.98e-03	 9.10e-01	 8.210113e-01	 3.60e+08	 7.34e+07	 8.31e+07	 1.10e+04	3.124	 3.10e+04	 5.76e+08	 5.93e+02	 -6.51	 3254	Yields
 4.50	 0.0040	  48	0.874	 4.80e-03	  28.0	 4.14e-03	 9.68e-01	 8.633397e-01	 3.50e+08	 6.78e+07	 8.22e+07	 1.10e+04	2.716	 2.85e+04	 5.52e+08	 5.94e+02	 -6.42	 3192	Yields
 4.50	 0.0040	  49	0.874	 4.78e-03	  29.8	 3.59e-03	 8.29e-01	 7.500530e-01	 3.51e+08	 5.96e+07	 8.16e+07	 1.14e+04	2.310	 2.71e+04	 6.11e+08	 5.65e+02	 -6.36	 3228	Yields
 4.50	 0.0040	  50	0.874	 3.65e-03	  22.0	 3.05e-03	 9.41e-01	 8.355840e-01	 3.43e+08	 1.54e+07	 7.91e+07	 8.54e+03	2.034	 2.41e+04	 1.17e+08	 6.67e+02	 -6.24	 2975	Yields
 5.50	 0.0040	   1	0.915	 2.23e-03	  31.3	 0.00e+00	 0.00e+00	 0.000000e+00	 2.32e+08	 2.93e+07	 7.82e+07	 0.00e+00	5.461	 2.21e+04	 1.10e+05	 3.57e+02	 -6.14	 3843	Yields
 5.50	 0.0040	   2	0.916	 2.49e-03	  26.3	 4.80e-05	 6.54e-02	 1.930363e-02	 2.43e+08	 3.61e+07	 7.96e+07	 3.12e+03	5.461	 2.30e+04	 2.28e+05	 3.68e+02	 -6.19	 3817	Yields
 5.50	 0.0040	   3	0.916	 2.56e-03	  22.9	 2.89e-04	 3.42e-01	 1.126154e-01	 2.52e+08	 4.37e+07	 8.08e+07	 3.28e+03	5.461	 2.40e+04	 3.77e+05	 3.78e+02	 -6.23	 3808	Yields
 5.50	 0.0040	   4	0.917	 2.61e-03	  20.4	 3.33e-04	 3.45e-01	 1.275648e-01	 2.61e+08	 5.30e+07	 8.20e+07	 3.36e+03	5.461	 2.50e+04	 6.13e+05	 3.92e+02	 -6.28	 3797	Yields
 5.50	 0.0040	   5	0.918	 2.65e-03	  19.6	 7.52e-04	 7.08e-01	 2.839242e-01	 2.69e+08	 6.14e+07	 8.31e+07	 3.52e+03	5.461	 2.63e+04	 9.55e+05	 4.07e+02	 -6.33	 3783	Yields
 5.50	 0.0040	   6	0.918	 2.71e-03	  19.0	 1.01e-03	 8.32e-01	 3.716423e-01	 2.78e+08	 6.72e+07	 8.41e+07	 3.57e+03	5.461	 2.79e+04	 1.64e+06	 4.27e+02	 -6.39	 3770	Yields
 5.50	 0.0040	   7	0.919	 2.73e-03	  17.2	 1.18e-03	 8.70e-01	 4.331099e-01	 2.86e+08	 7.09e+07	 8.50e+07	 3.80e+03	5.461	 2.94e+04	 2.60e+06	 4.45e+02	 -6.45	 3765	Yields
 5.50	 0.0040	   8	0.919	 2.75e-03	  17.1	 1.34e-03	 9.00e-01	 4.889800e-01	 2.92e+08	 7.40e+07	 8.58e+07	 4.03e+03	5.461	 3.08e+04	 4.01e+06	 4.59e+02	 -6.50	 3770	Yields
 5.50	 0.0040	   9	0.919	 2.77e-03	  16.8	 1.49e-03	 9.19e-01	 5.397267e-01	 2.95e+08	 7.68e+07	 8.67e+07	 4.27e+03	5.461	 3.20e+04	 6.05e+06	 4.68e+02	 -6.54	 3764	Yields
 5.50	 0.0040	  10	0.919	 2.81e-03	  17.0	 1.51e-03	 8.54e-01	 5.376057e-01	 3.04e+08	 7.97e+07	 8.77e+07	 4.57e+03	5.461	 3.30e+04	 9.11e+06	 4.74e+02	 -6.58	 3754	Yields
 5.50	 0.0040	  11	0.920	 2.82e-03	  15.7	 1.63e-03	 9.19e-01	 5.790610e-01	 3.09e+08	 8.19e+07	 8.86e+07	 4.53e+03	5.461	 3.38e+04	 1.16e+07	 4.75e+02	 -6.60	 3723	Yields
 5.50	 0.0040	  12	0.920	 2.85e-03	  16.5	 1.73e-03	 9.12e-01	 6.088020e-01	 3.14e+08	 8.34e+07	 8.93e+07	 4.78e+03	5.461	 3.47e+04	 1.47e+07	 4.81e+02	 -6.63	 3726	Yields
 5.50	 0.0040	  13	0.920	 2.86e-03	  17.3	 1.84e-03	 9.24e-01	 6.418003e-01	 3.19e+08	 8.44e+07	 8.98e+07	 4.92e+03	5.461	 3.56e+04	 2.19e+07	 4.90e+02	 -6.66	 3710	Yields
 5.50	 0.0040	  14	0.920	 2.92e-03	  16.3	 1.98e-03	 9.41e-01	 6.786486e-01	 3.24e+08	 8.50e+07	 9.02e+07	 5.15e+03	5.461	 3.65e+04	 2.98e+07	 5.00e+02	 -6.69	 3692	Yields
 5.50	 0.0040	  15	0.921	 2.99e-03	  16.5	 2.10e-03	 9.38e-01	 6.998845e-01	 3.29e+08	 8.55e+07	 9.06e+07	 5.41e+03	5.461	 3.74e+04	 4.05e+07	 5.11e+02	 -6.71	 3680	Yields
 5.50	 0.0040	  16	0.921	 3.02e-03	  16.9	 2.15e-03	 9.31e-01	 7.114444e-01	 3.33e+08	 8.60e+07	 9.09e+07	 5.57e+03	5.460	 3.82e+04	 5.13e+07	 5.18e+02	 -6.74	 3664	Yields
 5.50	 0.0040	  17	0.921	 3.04e-03	  15.4	 2.10e-03	 8.90e-01	 6.929177e-01	 3.38e+08	 8.63e+07	 9.11e+07	 5.66e+03	5.460	 3.89e+04	 6.18e+07	 5.27e+02	 -6.76	 3644	Yields
 5.50	 0.0040	  18	0.921	 3.06e-03	  15.7	 2.17e-03	 9.31e-01	 7.083463e-01	 3.38e+08	 8.65e+07	 9.12e+07	 5.59e+03	5.460	 3.93e+04	 6.90e+07	 5.31e+02	 -6.77	 3612	Yields
 5.50	 0.0040	  19	0.922	 3.09e-03	  13.0	 2.25e-03	 8.91e-01	 7.291269e-01	 3.42e+08	 8.68e+07	 9.14e+07	 5.96e+03	5.459	 4.02e+04	 8.61e+07	 5.43e+02	 -6.79	 3635	Yields
 5.50	 0.0040	  20	0.922	 3.06e-03	  14.3	 2.25e-03	 9.14e-01	 7.338532e-01	 3.45e+08	 8.69e+07	 9.15e+07	 5.80e+03	5.459	 4.06e+04	 9.08e+07	 5.45e+02	 -6.80	 3600	Yields
 5.50	 0.0040	  21	0.922	 3.12e-03	  14.8	 2.31e-03	 9.24e-01	 7.384891e-01	 3.47e+08	 8.71e+07	 9.16e+07	 5.90e+03	5.458	 4.11e+04	 1.05e+08	 5.51e+02	 -6.81	 3589	Yields
 5.50	 0.0040	  22	0.922	 3.17e-03	  13.9	 2.39e-03	 9.28e-01	 7.533961e-01	 3.49e+08	 8.72e+07	 9.17e+07	 6.01e+03	5.457	 4.17e+04	 1.30e+08	 5.59e+02	 -6.83	 3595	Yields
 5.50	 0.0040	  23	0.922	 3.18e-03	  13.9	 2.43e-03	 9.39e-01	 7.649813e-01	 3.54e+08	 8.74e+07	 9.18e+07	 6.03e+03	5.457	 4.21e+04	 1.43e+08	 5.64e+02	 -6.84	 3577	Yields
 5.50	 0.0040	  24	0.923	 3.23e-03	  12.6	 2.46e-03	 9.25e-01	 7.636498e-01	 3.54e+08	 8.74e+07	 9.18e+07	 6.17e+03	5.455	 4.26e+04	 1.61e+08	 5.71e+02	 -6.85	 3567	Yields
 5.50	 0.0040	  25	0.923	 3.22e-03	  13.9	 2.54e-03	 9.40e-01	 7.877548e-01	 3.56e+08	 8.75e+07	 9.18e+07	 6.21e+03	5.454	 4.30e+04	 1.80e+08	 5.75e+02	 -6.86	 3566	Yields
 5.50	 0.0040	  26	0.923	 3.22e-03	  13.7	 2.53e-03	 9.24e-01	 7.855435e-01	 3.51e+08	 8.75e+07	 9.19e+07	 6.28e+03	5.452	 4.34e+04	 1.90e+08	 5.80e+02	 -6.87	 3559	Yields
 5.50	 0.0040	  27	0.923	 3.21e-03	  14.5	 2.56e-03	 9.46e-01	 7.975032e-01	 3.58e+08	 8.75e+07	 9.19e+07	 6.20e+03	5.450	 4.37e+04	 1.96e+08	 5.82e+02	 -6.88	 3550	Yields
 5.50	 0.0040	  28	0.924	 3.20e-03	  14.5	 2.54e-03	 9.20e-01	 7.944068e-01	 3.50e+08	 8.75e+07	 9.19e+07	 6.31e+03	5.448	 4.40e+04	 2.07e+08	 5.88e+02	 -6.89	 3545	Yields
 5.50	 0.0040	  29	0.924	 3.20e-03	  14.9	 2.54e-03	 9.35e-01	 7.955275e-01	 3.61e+08	 8.75e+07	 9.19e+07	 6.21e+03	5.445	 4.43e+04	 2.12e+08	 5.90e+02	 -6.90	 3539	Yields
 5.50	 0.0040	  30	0.924	 3.17e-03	  13.4	 2.51e-03	 9.20e-01	 7.921129e-01	 3.51e+08	 8.75e+07	 9.18e+07	 6.21e+03	5.442	 4.45e+04	 2.13e+08	 5.94e+02	 -6.90	 3532	Yields
 5.50	 0.0040	  31	0.924	 3.14e-03	  13.5	 2.48e-03	 9.25e-01	 7.888583e-01	 3.55e+08	 8.75e+07	 9.18e+07	 6.08e+03	5.439	 4.47e+04	 2.08e+08	 5.95e+02	 -6.91	 3529	Yields
 5.50	 0.0040	  32	0.924	 3.11e-03	  13.4	 2.46e-03	 9.29e-01	 7.908064e-01	 3.54e+08	 8.75e+07	 9.18e+07	 6.00e+03	5.435	 4.50e+04	 2.00e+08	 5.98e+02	 -6.91	 3525	Yields
 5.50	 0.0040	  33	0.924	 3.07e-03	  13.6	 2.47e-03	 9.42e-01	 8.036559e-01	 3.57e+08	 8.75e+07	 9.17e+07	 5.93e+03	5.431	 4.52e+04	 2.00e+08	 6.00e+02	 -6.92	 3521	Yields
 5.50	 0.0040	  34	0.925	 3.09e-03	  13.8	 2.47e-03	 9.22e-01	 7.993253e-01	 3.49e+08	 8.75e+07	 9.17e+07	 6.04e+03	5.427	 4.55e+04	 2.15e+08	 6.04e+02	 -6.92	 3519	Yields
 5.50	 0.0040	  35	0.925	 3.11e-03	  14.6	 2.46e-03	 9.27e-01	 7.932820e-01	 3.59e+08	 8.75e+07	 9.17e+07	 5.98e+03	5.422	 4.56e+04	 2.26e+08	 6.06e+02	 -6.93	 3520	Yields
 5.50	 0.0040	  36	0.925	 3.07e-03	  13.6	 2.45e-03	 9.33e-01	 7.977788e-01	 3.58e+08	 8.74e+07	 9.16e+07	 5.90e+03	5.417	 4.58e+04	 2.04e+08	 6.08e+02	 -6.93	 3512	Yields
 5.50	 0.0040	  37	0.925	 3.06e-03	  13.9	 2.46e-03	 9.37e-01	 8.037822e-01	 3.64e+08	 8.74e+07	 9.16e+07	 5.88e+03	5.411	 4.59e+04	 2.19e+08	 6.10e+02	 -6.93	 3509	Yields
 5.50	 0.0040	  38	0.925	 3.06e-03	  14.1	 2.42e-03	 9.17e-01	 7.906741e-01	 3.54e+08	 8.73e+07	 9.16e+07	 5.90e+03	5.404	 4.61e+04	 2.24e+08	 6.13e+02	 -6.94	 3506	Yields
 5.50	 0.0040	  39	0.925	 3.08e-03	  14.7	 2.47e-03	 9.26e-01	 8.005529e-01	 3.60e+08	 8.73e+07	 9.15e+07	 5.94e+03	5.397	 4.63e+04	 2.40e+08	 6.16e+02	 -6.94	 3505	Yields
